keyword,avg_monthly_searches,searches_past_months
ai strategy consultant,880,"[50, 30, 20, 30, 30, 20, 30, 40, 50, 70, 70, 50, 50, 50, 70, 70, 140, 110, 170, 210, 210, 170, 140, 110, 170, 170, 260, 480, 390, 590, 480, 590, 720, 1000, 880, 880, 880, 1900, 1000, 390, 480, 1000, 590, 1000, 590, 880, 590, 880]"
ai solutions architect,880,"[30, 30, 20, 30, 20, 30, 40, 50, 70, 70, 110, 70, 110, 110, 110, 140, 140, 480, 480, 320, 390, 480, 390, 320, 480, 480, 480, 390, 390, 590, 480, 480, 590, 720, 590, 720, 720, 1000, 880, 590, 590, 590, 720, 880, 880, 880, 880, 880]"
ai director,880,"[170, 110, 170, 140, 260, 480, 590, 590, 880, 880, 720, 880, 590, 590, 590, 590, 590, 720, 720, 720, 590, 590, 590, 590, 590, 1000, 880, 720, 880, 720, 880, 880, 1000, 1000, 720, 720, 720, 1300, 1600, 1300, 880, 880, 880, 1300, 880, 720, 480, 720]"
ai web designer,720,"[20, 10, 20, 30, 110, 170, 170, 260, 390, 480, 480, 390, 390, 320, 320, 390, 390, 390, 480, 480, 480, 480, 390, 480, 480, 1600, 3600, 590, 480, 720, 720, 880, 880, 720, 720, 880, 720, 720, 1300, 720, 590, 720, 590, 720, 720, 590, 480, 480]"
ai analyst,720,"[70, 70, 70, 70, 90, 170, 140, 140, 170, 210, 320, 260, 260, 210, 210, 320, 210, 260, 390, 390, 390, 390, 320, 390, 390, 320, 590, 390, 320, 480, 590, 480, 590, 590, 590, 720, 590, 880, 590, 480, 590, 590, 590, 720, 720, 720, 880, 590]"
agentic ai architect,720,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 90, 170, 260, 320, 390, 720, 720, 880, 880, 880, 1000, 1000, 880, 880, 880, 720, 480, 590, 720, 880, 880, 880, 590, 720]"
ai sre,720,"[10, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 10, 10, 10, 10, 10, 10, 10, 70, 70, 40, 90, 70, 140, 140, 170, 140, 140, 260, 210, 210, 260, 320, 320, 480, 480, 590, 590, 590, 720, 720, 880, 1000, 880, 720, 720, 590]"
ai data analyst,720,"[40, 30, 50, 50, 70, 70, 70, 140, 170, 140, 170, 170, 260, 210, 170, 170, 140, 210, 210, 260, 320, 320, 260, 260, 320, 260, 320, 260, 320, 390, 390, 480, 480, 590, 480, 590, 480, 590, 880, 590, 390, 480, 480, 590, 590, 590, 1600, 720]"
ai research scientist,720,"[110, 90, 110, 90, 110, 170, 90, 170, 170, 170, 170, 210, 260, 590, 320, 480, 320, 390, 320, 390, 390, 720, 390, 480, 480, 480, 390, 480, 390, 590, 390, 590, 720, 720, 720, 880, 1300, 1000, 880, 880, 720, 720, 720, 720, 590, 590, 390, 480]"
ai agent architect,720,"[0, 10, 10, 10, 10, 10, 20, 10, 20, 20, 10, 20, 30, 40, 50, 40, 70, 90, 70, 140, 210, 320, 260, 210, 320, 260, 390, 390, 590, 880, 880, 720, 880, 880, 1000, 880, 720, 720, 720, 480, 390, 480, 720, 1300, 880, 880, 590, 590]"
ai producer,720,"[50, 50, 40, 90, 90, 140, 170, 110, 140, 260, 210, 140, 140, 140, 110, 110, 110, 140, 140, 140, 210, 210, 140, 140, 140, 140, 140, 140, 110, 170, 170, 170, 210, 260, 260, 170, 260, 880, 880, 880, 880, 720, 590, 720, 720, 590, 480, 590]"
applied ai engineer,720,"[10, 10, 10, 10, 20, 10, 10, 40, 40, 30, 30, 20, 30, 20, 30, 50, 40, 30, 50, 70, 90, 50, 50, 50, 70, 110, 110, 110, 110, 140, 110, 170, 210, 170, 210, 320, 480, 390, 320, 260, 320, 590, 720, 1000, 1000, 1300, 1000, 1000]"
ai security engineer,590,"[20, 10, 10, 10, 10, 20, 10, 40, 30, 30, 30, 40, 20, 50, 30, 40, 40, 70, 90, 90, 90, 140, 90, 110, 140, 110, 260, 90, 110, 210, 210, 260, 210, 260, 260, 320, 320, 320, 390, 390, 480, 590, 590, 880, 720, 880, 880, 1000]"
ai ux designer,590,"[210, 260, 260, 210, 260, 480, 480, 720, 720, 880, 720, 720, 720, 720, 720, 720, 590, 880, 720, 720, 880, 720, 590, 590, 480, 590, 590, 480, 480, 880, 880, 1000, 1000, 1000, 880, 1000, 880, 880, 880, 720, 590, 720, 590, 720, 590, 480, 390, 260]"
ai real estate agent,590,"[10, 10, 10, 10, 10, 40, 50, 70, 90, 110, 90, 70, 70, 140, 90, 110, 140, 140, 170, 390, 390, 320, 320, 210, 320, 320, 260, 210, 320, 390, 720, 1300, 880, 720, 590, 590, 480, 720, 390, 390, 390, 480, 590, 880, 590, 590, 590, 320]"
ai whisperer,480,"[10, 110, 210, 90, 140, 210, 880, 2900, 1900, 880, 590, 480, 320, 320, 320, 320, 390, 390, 390, 320, 320, 320, 260, 260, 260, 320, 390, 320, 260, 480, 390, 390, 320, 480, 390, 390, 480, 480, 480, 390, 880, 390, 480, 590, 720, 480, 390, 480]"
ai voice actor,480,"[140, 260, 260, 210, 320, 390, 720, 590, 720, 880, 720, 880, 720, 590, 590, 590, 590, 720, 480, 590, 590, 590, 590, 480, 480, 480, 720, 880, 590, 590, 590, 720, 590, 720, 590, 590, 480, 480, 590, 590, 590, 480, 480, 590, 480, 480, 320, 390]"
ai color grader,480,"[50, 50, 70, 70, 140, 170, 260, 320, 390, 480, 480, 390, 390, 320, 390, 390, 390, 390, 390, 390, 390, 390, 390, 390, 320, 320, 390, 390, 390, 390, 390, 480, 480, 480, 480, 480, 480, 390, 390, 390, 390, 480, 480, 590, 720, 720, 590, 480]"
ai content writer,480,"[1600, 1300, 1000, 2400, 2400, 2400, 1600, 1600, 1300, 1600, 1000, 1300, 1300, 2400, 2400, 2900, 1600, 2400, 1900, 1900, 2400, 2400, 1900, 2400, 2400, 5400, 9900, 1600, 1900, 1900, 1300, 1600, 1600, 1300, 1300, 880, 720, 1000, 480, 210, 260, 260, 390, 720, 590, 480, 260, 260]"
ai automation engineer,480,"[0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 20, 20, 20, 10, 10, 10, 10, 20, 20, 10, 30, 20, 20, 10, 10, 30, 20, 30, 50, 70, 90, 110, 110, 880, 1600, 590, 480, 590, 390, 320, 480, 390, 480, 480, 480, 480, 480]"
ai automation specialist,480,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 40, 30, 30, 40, 30, 50, 40, 50, 50, 40, 70, 70, 70, 140, 70, 210, 390, 590, 320, 260, 320, 480, 590, 590, 590, 590, 590, 480, 720]"
llm engineer,390,"[10, 10, 10, 10, 20, 20, 30, 70, 140, 170, 140, 210, 170, 210, 210, 260, 210, 320, 320, 320, 320, 260, 880, 590, 590, 480, 590, 390, 480, 590, 480, 590, 480, 480, 480, 480, 590, 590, 590, 480, 260, 390, 480, 390, 390, 390, 320, 320]"
ai fitness coach,390,"[10, 10, 10, 20, 20, 30, 30, 50, 90, 170, 70, 140, 110, 110, 170, 140, 170, 210, 170, 260, 260, 320, 320, 260, 260, 320, 390, 390, 390, 390, 390, 390, 480, 480, 590, 590, 480, 390, 320, 320, 390, 590, 390, 590, 480, 480, 480, 320]"
ai data engineer,390,"[10, 10, 10, 10, 10, 20, 30, 50, 50, 70, 70, 90, 70, 70, 70, 90, 50, 170, 140, 170, 170, 140, 140, 170, 170, 210, 210, 260, 210, 390, 320, 320, 390, 390, 390, 320, 320, 320, 390, 320, 260, 390, 390, 480, 480, 480, 480, 480]"
